tree_id,node_id,is_leave,split_feature,threshold,children,correctPredictions,correctPredictionsClassesCounts,wrongPredictions
3,11,True,"","","",7,"0;7","4;2;0;1;4;0;3"
3,12,True,"","","",1,"4;1","1;0;4;1"
3,13,True,"","","",1,"4;1","0"
3,14,False,"Si Silicon",73.33,"15;16",9,"2;2;0;7","3;2;0;3"
3,15,True,"","","",7,"0;7","3;2;0;3"
3,16,True,"","","",2,"2;2","0"
3,17,False,"Al Aluminum",1.42,"18;51",117,"5;15;1;61;0;40;3;1","15;0;1;9;1;0;3;5;2;5;1;1"
3,18,False,"Ca Calcium",8.22,"19;26",82,"0;12;3;1;1;57;5;12","11;0;1;7;1;0;1;5;2;5;1;1"
3,19,False,"Si Silicon",72.98,"20;25",10,"1;5;0;5","0"
3,20,False,"Na Sodium",13.68,"21;22",6,"0;5;1;1","0"
3,21,True,"","","",4,"0;4","0"
3,22,False,"Na Sodium",13.91,"23;24",2,"0;1;1;1","0"
3,23,True,"","","",1,"1;1","0"
3,24,True,"","","",1,"0;1","0"
3,25,True,"","","",4,"1;4","0"
3,26,False,"Refractive Index",1.52,"27;34",72,"0;7;3;1;1;52;5;12","11;0;1;7;1;0;1;5;2;5;1;1"
3,27,False,"Mg Magnesium",3.59,"28;33",10,"0;1;5;7;1;2","0"
3,28,False,"Si Silicon",72.72,"29;30",9,"5;7;1;2","0"
3,29,True,"","","",5,"5;5","0"
3,30,False,"Refractive Index",1.52,"31;32",4,"5;2;1;2","0"
3,31,True,"","","",2,"1;2","0"
3,32,True,"","","",2,"5;2","0"
3,33,True,"","","",1,"0;1","0"
3,34,False,"Al Aluminum",1.12,"35;46",62,"0;6;3;1;1;50;5;5","11;0;1;7;1;0;1;5;2;5;1;1"
3,35,False,"Ca Calcium",9.53,"36;43",24,"1;15;5;5;0;4","4;1;0;1;5;2;5;1;1"
3,36,False,"K Potassium",0.43,"37;42",10,"0;4;5;4;1;2","4;1;0;1;5;2;5;1;1"
3,37,False,"K Potassium",0.07,"38;41",6,"5;4;1;2","3;1;5;2;5;1;1"
3,38,False,"K Potassium",0.01,"39;40",3,"1;2;5;1","1;5;1;1"
3,39,True,"","","",1,"5;1","0"
3,40,True,"","","",2,"1;2","1;5;1;1"
3,41,True,"","","",3,"5;3","2;1;5;2"
3,42,True,"","","",4,"0;4","1;1;0;1"
3,43,False,"Refractive Index",1.52,"44;45",14,"1;13;5;1","0"
3,44,True,"","","",1,"5;1","0"
3,45,True,"","","",13,"1;13","0"
3,46,False,"Fe Iron",0.31,"47;50",38,"0;2;3;1;1;35","7;0;1;7"
3,47,False,"Refractive Index",1.52,"48;49",36,"3;1;1;35","7;0;1;7"
