tree_id,node_id,is_leave,split_feature,threshold,children,correctPredictions,correctPredictionsClassesCounts,wrongPredictions
9,10,False,"body_mass_g",3975.00,"11;12",52,"0;21;1;31","38;1;0;11;2;0;2;0;1;25"
9,11,True,"","","",31,"1;31","25;0;1;25"
9,12,True,"","","",21,"0;21","13;1;0;11;2;0;2"
9,13,True,"","","",5,"0;5","1;1;0;1"
9,14,False,"body_mass_g",4050.00,"15;16",126,"1;5;2;121","3;0;1;2;2;1;1"
9,15,True,"","","",2,"1;2","2;0;1;1;2;1;1"
9,16,False,"bill_depth_mm",18.45,"17;18",124,"1;3;2;121","1;0;1;1"
9,17,True,"","","",121,"2;121","0"
9,18,True,"","","",3,"1;3","1;0;1;1"
10,0,False,"body_mass_g",4562.50,"1;14",324,"1;57;2;124;0;143","20;0;2;6;1;3;1;0;11"
10,1,False,"flipper_length_mm",196.50,"2;9",213,"1;56;0;138;2;19","18;0;1;3;2;4;1;0;11"
10,2,False,"bill_length_mm",42.35,"3;6",150,"0;124;1;26","11;1;0;11"
10,3,False,"flipper_length_mm",187.50,"4;5",119,"0;119","1;1;0;1"
10,4,True,"","","",53,"0;53","1;1;0;1"
10,5,True,"","","",66,"0;66","0"
10,6,False,"sex",0.50,"7;8",31,"0;5;1;26","10;1;0;10"
10,7,True,"","","",26,"1;26","0"
10,8,True,"","","",5,"0;5","10;1;0;10"
10,9,False,"island",0.50,"10;11",63,"1;30;0;14;2;19","7;0;1;3;2;4"
10,10,True,"","","",19,"2;19","4;0;2;4"
10,11,False,"bill_length_mm",43.30,"12;13",44,"1;30;0;14","3;0;1;3"
10,12,True,"","","",14,"0;14","0"
10,13,True,"","","",30,"1;30","3;0;1;3"
10,14,False,"body_mass_g",4712.50,"15;18",111,"1;1;2;105;0;5","2;0;2;2"
10,15,False,"bill_depth_mm",16.40,"16;17",20,"0;5;2;15","0"
10,16,True,"","","",15,"2;15","0"
10,17,True,"","","",5,"0;5","0"
10,18,False,"island",0.50,"19;20",91,"1;1;2;90","2;0;2;2"
10,19,True,"","","",90,"2;90","2;0;2;2"
10,20,True,"","","",1,"1;1","0"
11,0,False,"bill_length_mm",42.40,"1;8",320,"2;120;0;140;1;60","24;0;2;8;1;4;1;2;1;0;7;2;0;1;1;3"
11,1,False,"body_mass_g",4575.00,"2;7",135,"2;3;0;132","8;0;2;7;1;0;1"
11,2,False,"bill_length_mm",41.90,"3;4",133,"0;132;2;1","4;0;2;3;1;0;1"
11,3,True,"","","",129,"0;129","1;1;0;1"
11,4,False,"bill_length_mm",42.15,"5;6",4,"0;3;2;1","3;0;2;3"
11,5,True,"","","",1,"2;1","3;0;2;3"
11,6,True,"","","",3,"0;3","0"
11,7,True,"","","",2,"2;2","4;0;2;4"
11,8,False,"body_mass_g",4175.00,"9;14",185,"2;117;0;8;1;60","16;0;2;1;1;4;1;2;1;0;6;2;0;1;1;3"
11,9,False,"bill_length_mm",44.93,"10;13",62,"1;60;0;2","7;0;1;4;2;1;3"
11,10,False,"bill_depth_mm",18.30,"11;12",7,"0;2;1;5","6;0;1;3;2;1;3"
11,11,True,"","","",5,"1;5","6;0;1;3;2;1;3"
11,12,True,"","","",2,"0;2","0"
11,13,True,"","","",55,"1;55","1;0;1;1"
11,14,False,"body_mass_g",4712.50,"15;18",123,"2;117;0;6","9;0;2;1;1;2;1;0;6;2;0;1"
11,15,False,"sex",0.50,"16;17",33,"0;6;2;27","7;1;0;6;2;0;1"
11,16,True,"","","",27,"2;27","0"
11,17,True,"","","",6,"0;6","7;1;0;6;2;0;1"
11,18,True,"","","",90,"2;90","2;0;2;1;1;2;1"
12,0,False,"bill_depth_mm",16.05,"1;6",337,"1;66;0;148;2;123","7;0;1;4;1;0;2;2;1;1"
12,1,False,"island",0.50,"2;5",107,"0;3;2;104","0"
12,2,False,"flipper_length_mm",195.00,"3;4",105,"2;104;0;1","0"
12,3,True,"","","",1,"0;1","0"
12,4,True,"","","",104,"2;104","0"
12,5,True,"","","",2,"0;2","0"
12,6,False,"bill_depth_mm",17.40,"7;12",230,"1;66;0;145;2;19","7;0;1;4;1;0;2;2;1;1"
12,7,False,"bill_length_mm",41.60,"8;9",68,"2;19;1;15;0;34","3;0;1;1;2;1;1;1;0;1"
12,8,True,"","","",34,"0;34","1;1;0;1"
